Campaign name,DMA region,Reach,Amount spent (USD),Link clicks,Unique purchases,Purchases,Purchases conversion value,Reporting starts,Reporting ends
Video Retargeting | Southern US | 4.4.22,Memphis,576,1.460006722,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Flint-Saginaw-Bay City,832,1.460006722,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Des Moines-Ames,832,2.010009254,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Knoxville,1248,2.770012753,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Gainesville,140,0.290001335,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Honolulu,928,2.850013122,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Waco-Temple-Bryan,608,1.180005433,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Tyler-Longview(Lfkn&Ncgd),448,0.930004282,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Watertown,224,0.740003407,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Monroe-El Dorado,320,0.650002993,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Albuquerque-Santa Fe,736,1.59000732,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Sioux Falls(Mitchell),256,0.720003315,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Macon,320,0.900004144,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Savannah,480,2.360010866,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Richmond-Petersburg,1120,1.960009024,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Lansing,352,1.130005203,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Tulsa,960,3.130014411,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Cedar Rapids-Wtrlo-Iwc&Dub,992,1.730007965,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Mobile-Pensacola (Ft Walt),768,2.320010681,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Sioux City,384,0.790003637,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Rochester-Mason City-Austin,400,0.790003637,2,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Monterey-Salinas,288,0.900004144,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,"Portland, OR",2144,4.440020442,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Greenville-N.Bern-Washngtn,544,2.220010221,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Anchorage,448,0.750003453,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,El Paso (Las Cruces),288,1.3900064,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Missoula,160,3.660016851,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Dayton,480,2.380010958,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Boise,896,2.040009392,3,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Little Rock-Pine Bluff,736,2.760012707,,,,,4/1/22,5/4/22
Prospecting | new markets | 4.11.22,Youngstown,103,0.75000739,7,,,,4/1/22,5/4/22
